espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
5177121,2025,Josh Pascarelli,DELETE (phantom),19231,Colorado State,51609,Marist
5241915,2025,Josh Pickett,KEEP (bbref=Denver),50394,Denver,,
5241915,2025,Josh Pickett,DELETE (phantom),19233,Presbyterian,50394,Denver
4838723,2023,Josh Reed,UNRESOLVED (no bbref row),19236,Penn State,,
4838723,2023,Josh Reed,UNRESOLVED (no bbref row),19235,Drexel,,
4838723,2023,Josh Reed,UNRESOLVED (no bbref row),29838,Cincinnati,,
4838723,2024,Josh Reed,KEEP (bbref=Cincinnati),45531,Cincinnati,,
4838723,2024,Josh Reed,DELETE (phantom),19237,Drexel,45531,Cincinnati
4838723,2024,Josh Reed,DELETE (phantom),19238,Penn State,45531,Cincinnati
5105681,2023,Josh Rivera,KEEP (bbref=Lafayette),30970,Lafayette,,
5105681,2023,Josh Rivera,DELETE (phantom),19243,Seton Hall,30970,Lafayette
5105681,2024,Josh Rivera,KEEP (bbref=Fordham),45987,Fordham,,
5105681,2024,Josh Rivera,DELETE (phantom),19244,Seton Hall,45987,Fordham
5105681,2025,Josh Rivera,KEEP (bbref=Fordham),50716,Fordham,,
5105681,2025,Josh Rivera,DELETE (phantom),19245,Seton Hall,50716,Fordham
5176031,2024,Josh Scovens,UNRESOLVED (no bbref row),19247,Davidson,,
5176031,2024,Josh Scovens,UNRESOLVED (no bbref row),45040,Army,,
5176031,2025,Josh Scovens,KEEP (bbref=Army),49675,Army,,
5176031,2025,Josh Scovens,DELETE (phantom),19248,Davidson,49675,Army
4700859,2022,Josh Smith,KEEP (bbref=Stetson),28206,Stetson,,
4700859,2022,Josh Smith,DELETE (phantom),19250,Liberty,28206,Stetson
4700859,2022,Josh Smith,DELETE (phantom),19251,West Georgia,28206,Stetson
4700859,2023,Josh Smith,KEEP (bbref=Stetson),32839,Stetson,,
4700859,2023,Josh Smith,DELETE (phantom),19252,Liberty,32839,Stetson
4700859,2023,Josh Smith,DELETE (phantom),19253,West Georgia,32839,Stetson
5179291,2024,Josh Smith,UNRESOLVED (no bbref row),19254,Liberty,,
5179291,2024,Josh Smith,UNRESOLVED (no bbref row),19255,West Georgia,,
5179291,2024,Josh Smith,UNRESOLVED (no bbref row),47375,North Carolina Central,,
5179291,2025,Josh Smith,KEEP (bbref=North Carolina Central),52172,North Carolina Central,,
5179291,2025,Josh Smith,DELETE (phantom),19257,West Georgia,52172,North Carolina Central
5179291,2025,Josh Smith,DELETE (phantom),19256,Liberty,52172,North Carolina Central
4702889,2022,Josh Taylor,UNRESOLVED (no bbref row),19260,East Texas A&M,,
4702889,2022,Josh Taylor,UNRESOLVED (no bbref row),26052,Georgia,,
4702889,2023,Josh Taylor,KEEP (bbref=East Tennessee State),30171,East Tennessee State,,
4702889,2023,Josh Taylor,DELETE (phantom),19261,East Texas A&M,30171,East Tennessee State
4703169,2022,Joshua Aaron Reaves,KEEP (bbref=Mount St. Mary's),26970,Mount St. Mary's,,
4703169,2022,Joshua Aaron Reaves,DELETE (phantom),19267,Hofstra,26970,Mount St. Mary's
4703169,2023,Joshua Aaron Reaves,UNRESOLVED (no bbref row),19268,Hofstra,,
4703169,2023,Joshua Aaron Reaves,UNRESOLVED (no bbref row),31491,Mount St. Mary's,,
4703169,2024,Joshua Aaron Reaves,KEEP (bbref=Mount St. Mary's),47163,Mount St. Mary's,,
4703169,2024,Joshua Aaron Reaves,DELETE (phantom),19269,Hofstra,47163,Mount St. Mary's
4703169,2025,Joshua Aaron Reaves,KEEP (bbref=Illinois-Chicago),53741,Illinois-Chicago,,
4703169,2025,Joshua Aaron Reaves,DELETE (phantom),19270,Hofstra,53741,Illinois-Chicago
4698718,2023,Joshua Beadle,KEEP (bbref=Clemson),29851,Clemson,,
4698718,2023,Joshua Beadle,DELETE (phantom),19272,Coastal Carolina,29851,Clemson
4698718,2024,Joshua Beadle,KEEP (bbref=Clemson),45544,Clemson,,
4698718,2024,Joshua Beadle,DELETE (phantom),19273,Coastal Carolina,45544,Clemson
4698718,2025,Joshua Beadle,UNRESOLVED (no bbref row),19274,Coastal Carolina,,
4698718,2025,Joshua Beadle,UNRESOLVED (no bbref row),49828,Boston College,,
5107366,2023,Joshua Hughes,KEEP (bbref=Samford),19284,Samford,,
5107366,2023,Joshua Hughes,DELETE (phantom),19283,Evansville,19284,Samford
5177734,2026,Joshua Hughes,UNRESOLVED (no bbref row),19290,Samford,,
